ticker,event_ticker,category,side,contracts,maker_contracts,taker_contracts,avg_entry_price_cents,basis_cents,fees_cents,net_pnl_cents,return,entry_ts,exit_ts,holding_s,result,settle_ts,flb_train_ticker,subwindow
KXAAAGASW-26JUL06-3.810,KXAAAGASW-26JUL06,Economics,no,515,515,0,97.0,49955,0,1545,0.030927835051546393,1783292400,1783339844,47444,no,1783339844,False,CONTAMINATED
KXAAAGASD-26JUL06-3.795,KXAAAGASD-26JUL06,Economics,yes,452,452,0,95.0,42940,0,2260,0.05263157894736842,1783296000,1783340134,44134,yes,1783340134,False,CONTAMINATED
KXAAAGASD-26JUL06-3.805,KXAAAGASD-26JUL06,Economics,no,99,99,0,93.0,9207,0,693,0.07526881720430108,1783299600,1783340134,40534,no,1783340134,False,CONTAMINATED
KXAAAGASD-26JUL07-3.795,KXAAAGASD-26JUL07,Economics,no,285,285,0,90.0,25650,0,2850,0.1111111111111111,1783382400,1783425334,42934,no,1783425334,True,CONTAMINATED
KXSPRLVL-26JUL08-T320,KXSPRLVL-26JUL08,Economics,no,36,36,0,91.0,3276,0,324,0.0989010989010989,1783504800,1783524594,19794,no,1783524594,False,CONTAMINATED
KXAAAGASD-26JUL09-3.815,KXAAAGASD-26JUL09,Economics,yes,150,150,0,93.0,13950,0,1050,0.07526881720430108,1783566000,1783602350,36350,yes,1783602350,False,CONTAMINATED
KXAAAGASD-26JUL09-3.820,KXAAAGASD-26JUL09,Economics,yes,212,212,0,93.0,19716,0,1484,0.07526881720430108,1783566000,1783602350,36350,yes,1783602350,False,CONTAMINATED
KXAAAGASD-26JUL13-3.870,KXAAAGASD-26JUL13,Economics,yes,82,82,0,90.0,7380,0,820,0.1111111111111111,1783911600,1783945109,33509,yes,1783945109,False,CONTAMINATED
KXAAAGASD-26JUL14-3.860,KXAAAGASD-26JUL14,Economics,yes,325,325,0,90.0,29250,0,-29250,-1.0,1783994400,1784028029,33629,no,1784028029,False,CONTAMINATED
KXCPIYOY-26JUN-T3.9,KXCPIYOY-26JUN,Economics,no,47,47,0,95.0,4465,4,231,0.05173572228443449,1784019600,1784033409,13809,no,1784033409,False,CONTAMINATED
KXAAAGASD-26JUL15-3.885,KXAAAGASD-26JUL15,Economics,yes,115,115,0,91.0,10465,0,1035,0.0989010989010989,1784070000,1784112935,42935,yes,1784112935,False,CONTAMINATED
KXAAAGASD-26JUL15-3.905,KXAAAGASD-26JUL15,Economics,no,184,184,0,90.0,16560,0,1840,0.1111111111111111,1784073600,1784112935,39335,no,1784112935,False,CONTAMINATED
KXAAAGASD-26JUL15-3.875,KXAAAGASD-26JUL15,Economics,yes,510,510,0,98.0,49980,0,1020,0.02040816326530612,1784077200,1784112935,35735,yes,1784112935,False,CONTAMINATED
KXAAAGASD-26JUL17-4.005,KXAAAGASD-26JUL17,Economics,no,50,50,0,96.0,4800,0,200,0.041666666666666664,1784242800,1784292932,50132,no,1784292932,False,CONTAMINATED
KXAAAGASD-26JUL17-3.995,KXAAAGASD-26JUL17,Economics,no,325,325,0,90.0,29250,0,3250,0.1111111111111111,1784250000,1784292932,42932,no,1784292932,False,CONTAMINATED
KXAAAGASW-26JUL20-4.010,KXAAAGASW-26JUL20,Economics,no,157,157,0,92.0,14444,0,1256,0.08695652173913043,1784505600,1784550749,45149,no,1784550749,False,CONTAMINATED
